Athlete,Country,Sport,Event,Medal
STRETOVICH Ivan,Russian Federation,Artistic Gymnastics,Men's Team,silver
TUTKHALIAN Seda,Russian Federation,Artistic Gymnastics,Women's Team,silver
MUSTAFINA Aliya,Russian Federation,Artistic Gymnastics,Women's Uneven Bars,gold
MUSTAFINA Aliya,Russian Federation,Artistic Gymnastics,Women's Individual All-Around,bronze
ABLIAZIN Denis,Russian Federation,Artistic Gymnastics,Men's Rings,bronze
BELYAVSKIY David,Russian Federation,Artistic Gymnastics,Men's Parallel Bars,bronze
ALOIAN Misha,Russian Federation,Boxing,Men's Fly (52kg),silver
TISHCHENKO Evgeny,Russian Federation,Boxing,Men's Heavy (91kg),gold
BELIAKOVA Anastasiia,Russian Federation,Boxing,Women's Light (57-60kg),bronze
DUNAYTSEV Vitaly,Russian Federation,Boxing,Men's Light Welter (64kg),bronze
NIKITIN Vladimir,Russian Federation,Boxing,Men's Bantam (56kg),bronze
ANOSHKIN Roman,Russian Federation,Canoe Sprint,Men's Kayak Single 1000m,bronze
ZABELINSKAYA Olga,Russian Federation,Cycling Road,Women's Individual Time Trial,silver
SHMELEVA Daria,Russian Federation,Cycling Track,Women's Team Sprint,silver
VOINOVA Anastasiia,Russian Federation,Cycling Track,Women's Team Sprint,silver
DMITRIEV Denis,Russian Federation,Cycling Track,Men's Sprint,bronze
VELIKAYA Sofya,Russian Federation,Fencing,Women's Sabre Individual,silver
EGORIAN Yana,Russian Federation,Fencing,Women's Sabre Team,gold
EGORIAN Yana,Russian Federation,Fencing,Women's Sabre Individual,gold
VELIKAYA Sofya,Russian Federation,Fencing,Women's Sabre Team,gold
SAFIN Timur,Russian Federation,Fencing,Men's Foil Team,gold
AKHMATKHUZIN Artur,Russian Federation,Fencing,Men's Foil Team,gold
CHEREMISINOV Alexey,Russian Federation,Fencing,Men's Foil Team,gold
DERIGLAZOVA Inna,Russian Federation,Fencing,Women's Foil Individual,gold
DYACHENKO Ekaterina,Russian Federation,Fencing,Women's Sabre Team,gold
GAVRILOVA Yuliya,Russian Federation,Fencing,Women's Sabre Team,gold
ZHEREBCHENKO Dmitry,Russian Federation,Fencing,Men's Foil Team,gold
SAFIN Timur,Russian Federation,Fencing,Men's Foil Individual,bronze
KOCHNEVA Olga,Russian Federation,Fencing,Women's Épée Team,bronze
KOLOBOVA Violetta,Russian Federation,Fencing,Women's Épée Team,bronze
LOGUNOVA Tatiana,Russian Federation,Fencing,Women's Épée Team,bronze
SHUTOVA Lyubov,Russian Federation,Fencing,Women's Épée Team,bronze
AKOPIAN Olga,Russian Federation,Handball,Women,gold
BLIZNOVA Irina,Russian Federation,Handball,Women,gold
BOBROVNIKOVA Vladlena,Russian Federation,Handball,Women,gold
DMITRIEVA Daria,Russian Federation,Handball,Women,gold
EROKHINA Tatiana,Russian Federation,Handball,Women,gold
ILINA Ekaterina,Russian Federation,Handball,Women,gold
KALININA Viktoriia,Russian Federation,Handball,Women,gold
KUZNETSOVA Polina,Russian Federation,Handball,Women,gold
MARENNIKOVA Ekaterina,Russian Federation,Handball,Women,gold
PETROVA Mayya,Russian Federation,Handball,Women,gold
SEDOYKINA Anna,Russian Federation,Handball,Women,gold
SEN Anna,Russian Federation,Handball,Women,gold
SUDAKOVA Marina,Russian Federation,Handball,Women,gold
VYAKHIREVA Anna,Russian Federation,Handball,Women,gold
ZHILINSKAYTE Victoria,Russian Federation,Handball,Women,gold
KHALMURZAEV Khasan,Russian Federation,Judo,Men -81 kg,gold
MUDRANOV Beslan,Russian Federation,Judo,Men -60 kg,gold
KUZIUTINA Natalia,Russian Federation,Judo,Women -52 kg,bronze
LESUN Alexander,Russian Federation,Modern Pentathlon,Men's Individual,gold
KUDRYAVTSEVA Yana,Russian Federation,Rhythmic Gymnastics,Individual All-Around,silver
BIRIUKOVA Vera,Russian Federation,Rhythmic Gymnastics,Group All-Around,gold
BLIZNYUK Anastasia,Russian Federation,Rhythmic Gymnastics,Group All-Around,gold
MAKSIMOVA Anastasiia,Russian Federation,Rhythmic Gymnastics,Group All-Around,gold
MAMUN Margarita,Russian Federation,Rhythmic Gymnastics,Individual All-Around,gold
TATAREVA Anastasiia,Russian Federation,Rhythmic Gymnastics,Group All-Around,gold
TOLKACHEVA Maria,Russian Federation,Rhythmic Gymnastics,Group All-Around,gold
ELFUTINA Stefaniya,Russian Federation,Sailing,RS:X Women,bronze
BATSARASHKINA Vitalina,Russian Federation,Shooting,10m Air Pistol Women,silver
KAMENSKIY Sergey,Russian Federation,Shooting,50m Rifle 3 Positions Men,silver
GRIGORYAN Kirill,Russian Federation,Shooting,50m Rifle Prone Men,bronze
MASLENNIKOV Vladimir,Russian Federation,Shooting,10m Air Rifle Men,bronze
EFIMOVA Yulia,Russian Federation,Swimming,Women's 200m Breaststroke,silver
EFIMOVA Yulia,Russian Federation,Swimming,Women's 100m Breaststroke,silver
CHUPKOV Anton,Russian Federation,Swimming,Men's 200m Breaststroke,bronze
RYLOV Evgeny,Russian Federation,Swimming,Men's 200m Backstroke,bronze
ISHCHENKO Natalia,Russian Federation,Synchronised Swimming,Teams,gold
ISHCHENKO Natalia,Russian Federation,Synchronised Swimming,Duets,gold
ROMASHINA Svetlana,Russian Federation,Synchronised Swimming,Teams,gold
ROMASHINA Svetlana,Russian Federation,Synchronised Swimming,Duets,gold
CHIGIREVA Vlada,Russian Federation,Synchronised Swimming,Teams,gold
KOLESNICHENKO Svetlana,Russian Federation,Synchronised Swimming,Teams,gold
PATSKEVICH Aleksandra,Russian Federation,Synchronised Swimming,Teams,gold
PROKOFYEVA Elena,Russian Federation,Synchronised Swimming,Teams,gold
SHISHKINA Alla,Russian Federation,Synchronised Swimming,Teams,gold
SHUROCHKINA Mariia,Russian Federation,Synchronised Swimming,Teams,gold
TOPILINA Gelena,Russian Federation,Synchronised Swimming,Teams,gold
DENISENKO Alexey,Russian Federation,Taekwondo,Men -68kg,silver
MAKAROVA Ekaterina,Russian Federation,Tennis,Women's Doubles,gold
VESNINA Elena,Russian Federation,Tennis,Women's Doubles,gold
BORISOVA Maria,Russian Federation,Water Polo,Women,bronze
GLYZINA Nadezhda,Russian Federation,Water Polo,Women,bronze
GORBUNOVA Olga,Russian Federation,Water Polo,Women,bronze
GRINEVA Anna,Russian Federation,Water Polo,Women,bronze
IVANOVA Evgeniya,Russian Federation,Water Polo,Women,bronze
KARIMOVA Elvina,Russian Federation,Water Polo,Women,bronze
KARNAUKH Anna,Russian Federation,Water Polo,Women,bronze
LISUNOVA Ekaterina,Russian Federation,Water Polo,Women,bronze
PROKOFYEVA Ekaterina,Russian Federation,Water Polo,Women,bronze
SIMANOVICH Anastasia,Russian Federation,Water Polo,Women,bronze
SOBOLEVA Evgeniia,Russian Federation,Water Polo,Women,bronze
TIMOFEEVA Anna,Russian Federation,Water Polo,Women,bronze
USTYUKHINA Anna,Russian Federation,Water Polo,Women,bronze
GEDUEV Aniuar,Russian Federation,Wrestling,Men's Freestyle 74 kg,silver
KOBLOVA ZHOLOBOVA Valeriia,Russian Federation,Wrestling,Women's Freestyle 58 kg,silver
VOROBEVA Natalia,Russian Federation,Wrestling,Women's Freestyle 69 kg,silver
CHAKVETADZE Davit,Russian Federation,Wrestling,Men's Greco-Roman 85 kg,gold
RAMONOV Soslan,Russian Federation,Wrestling,Men's Freestyle 65 kg,gold
SADULAEV Abdulrashid,Russian Federation,Wrestling,Men's Freestyle 86 kg,gold
VLASOV Roman,Russian Federation,Wrestling,Men's Greco-Roman 75 kg,gold
BUKINA Ekaterina,Russian Federation,Wrestling,Women's Freestyle 75 kg,bronze
SEMENOV Sergey,Russian Federation,Wrestling,Men's Greco-Roman 130 kg,bronze
SPANOVIC Ivana,Serbia,Athletics,Women's Long Jump,bronze
BIRCEVIC Stefan,Serbia,Basketball,Men,silver
BOGDANOVIC Bogdan,Serbia,Basketball,Men,silver
JOKIC Nikola,Serbia,Basketball,Men,silver
JOVIC Stefan,Serbia,Basketball,Men,silver
KALINIC Nikola,Serbia,Basketball,Men,silver
MACVAN Milan,Serbia,Basketball,Men,silver
MARKOVIC Stefan,Serbia,Basketball,Men,silver
NEDOVIC Nemanja,Serbia,Basketball,Men,silver
RADULJICA Miroslav,Serbia,Basketball,Men,silver
SIMONOVIC Marko,Serbia,Basketball,Men,silver
STIMAC Vladimir,Serbia,Basketball,Men,silver
TEODOSIC Milos,Serbia,Basketball,Men,silver
BUTULIJA Dajana,Serbia,Basketball,Women,bronze
CADO Sasa,Serbia,Basketball,Women,bronze
CRVENDAKIC Aleksandra,Serbia,Basketball,Women,bronze
DABOVIC Ana,Serbia,Basketball,Women,bronze
DABOVIC Milica,Serbia,Basketball,Women,bronze
JOVANOVIC Nevena,Serbia,Basketball,Women,bronze
KRNJIC Sara,Serbia,Basketball,Women,bronze
MILOVANOVIC Jelena,Serbia,Basketball,Women,bronze
PAGE Danielle,Serbia,Basketball,Women,bronze
PETROVIC Sonja,Serbia,Basketball,Women,bronze
RADOCAJ Tamara,Serbia,Basketball,Women,bronze
STANKOVIC Dragana,Serbia,Basketball,Women,bronze
TOMICEVIC Marko,Serbia,Canoe Sprint,Men's Kayak Double 1000m,silver
ZORIC Milenko,Serbia,Canoe Sprint,Men's Kayak Double 1000m,silver
BOGDANOVIC Tijana,Serbia,Taekwondo,Women -49kg,silver
BOSKOVIC Tijana,Serbia,Volleyball,Women,silver
BRAKOCEVIC Jovana,Serbia,Volleyball,Women,silver
BUSA Bianka,Serbia,Volleyball,Women,silver
MALESEVIC Tijana,Serbia,Volleyball,Women,silver
MIHAJLOVIC Brankica,Serbia,Volleyball,Women,silver
NIKOLIC Jelena,Serbia,Volleyball,Women,silver
OGNJENOVIC Maja,Serbia,Volleyball,Women,silver
POPOVIC Silvija,Serbia,Volleyball,Women,silver
RASIC Milena,Serbia,Volleyball,Women,silver
STEVANOVIC Jovana,Serbia,Volleyball,Women,silver
VELJKOVIC Stefana,Serbia,Volleyball,Women,silver
ZIVKOVIC Bojana,Serbia,Volleyball,Women,silver
ALEKSIC Milan,Serbia,Water Polo,Men,gold
CUK Milos,Serbia,Water Polo,Men,gold
FILIPOVIC Filip,Serbia,Water Polo,Men,gold
GOCIC Zivko,Serbia,Water Polo,Men,gold
JAKSIC Nikola,Serbia,Water Polo,Men,gold
MANDIC Dusan,Serbia,Water Polo,Men,gold
MITROVIC Branislav,Serbia,Water Polo,Men,gold
MITROVIC Stefan,Serbia,Water Polo,Men,gold
NIKIC Slobodan,Serbia,Water Polo,Men,gold
PIJETLOVIC Dusko,Serbia,Water Polo,Men,gold
PIJETLOVIC Gojko,Serbia,Water Polo,Men,gold
PRLAINOVIC Andrija,Serbia,Water Polo,Men,gold
RANDELOVIC Sava,Serbia,Water Polo,Men,gold
STEFANEK Davor,Serbia,Wrestling,Men's Greco-Roman 66 kg,gold
SCHOOLING Joseph,Singapore,Swimming,Men's 100m Butterfly,gold
TOTH Matej,Slovakia,Athletics,Men's 50km Walk,gold
BENUS Matej,Slovakia,Canoe Slalom,Canoe Single (C1) Men,silver
SKANTAR Ladislav,Slovakia,Canoe Slalom,Canoe Double (C2) Men,gold
SKANTAR Peter,Slovakia,Canoe Slalom,Canoe Double (C2) Men,gold
LINKA Tibor,Slovakia,Canoe Sprint,Men's Kayak Four 1000m,silver
MYSAK Denis,Slovakia,Canoe Sprint,Men's Kayak Four 1000m,silver
TARR Juraj,Slovakia,Canoe Sprint,Men's Kayak Four 1000m,silver
VLCEK Erik,Slovakia,Canoe Sprint,Men's Kayak Four 1000m,silver
KAUZER Peter,Slovenia,Canoe Slalom,Kayak (K1) Men,silver
TRSTENJAK Tina,Slovenia,Judo,Women -63 kg,gold
VELENSEK Anamari,Slovenia,Judo,Women -78 kg,bronze
ZBOGAR Vasilij,Slovenia,Sailing,Finn Men,silver
MANYONGA Luvo,South Africa,Athletics,Men's Long Jump,silver
VILJOEN Sunette,South Africa,Athletics,Women's Javelin Throw,silver
SEMENYA Caster,South Africa,Athletics,Women's 800m,gold
VAN NIEKERK Wayde,South Africa,Athletics,Men's 400m,gold
BRITTAIN Lawrence,South Africa,Rowing,Men's Pair,silver
KEELING Shaun,South Africa,Rowing,Men's Pair,silver
AFRIKA Cecil,South Africa,Rugby Sevens,Men,bronze
AGABA Tim,South Africa,Rugby Sevens,Men,bronze
BROWN Kyle,South Africa,Rugby Sevens,Men,bronze
DE JONGH Juan,South Africa,Rugby Sevens,Men,bronze
GEDULD Justin,South Africa,Rugby Sevens,Men,bronze
HOUGAARD Francois,South Africa,Rugby Sevens,Men,bronze
KOK Werner,South Africa,Rugby Sevens,Men,bronze
KOLBE Cheslin,South Africa,Rugby Sevens,Men,bronze
SAGE Dylan,South Africa,Rugby Sevens,Men,bronze
SENATLA Seabelo,South Africa,Rugby Sevens,Men,bronze
SMITH Kwagga,South Africa,Rugby Sevens,Men,bronze
SNYMAN Philip,South Africa,Rugby Sevens,Men,bronze
SPECMAN Rosko,South Africa,Rugby Sevens,Men,bronze
LE CLOS Chad Guy Bertrand,South Africa,Swimming,Men's 100m Butterfly,silver
LE CLOS Chad Guy Bertrand,South Africa,Swimming,Men's 200m Freestyle,silver
VAN DER BURGH Cameron,South Africa,Swimming,Men's 100m Breaststroke,silver
SCHOEMAN Henri,South Africa,Triathlon,Men,bronze
ORTEGA Orlando,Spain,Athletics,Men's 110m Hurdles,silver
BEITIA Ruth,Spain,Athletics,Women's High Jump,gold
MARIN Carolina,Spain,Badminton,Women's Singles,gold
CRUZ Anna,Spain,Basketball,Women,silver
DOMINGUEZ Silvia,Spain,Basketball,Women,silver
GIL Laura,Spain,Basketball,Women,silver
NDOUR Astou,Spain,Basketball,Women,silver
NICHOLLS Laura,Spain,Basketball,Women,silver
PALAU Laia,Spain,Basketball,Women,silver
PASCUA Lucila,Spain,Basketball,Women,silver
QUEVEDO Laura,Spain,Basketball,Women,silver
RODRIGUEZ Leonor,Spain,Basketball,Women,silver
ROMERO Leticia,Spain,Basketball,Women,silver
TORRENS Alba,Spain,Basketball,Women,silver
XARGAY Marta,Spain,Basketball,Women,silver
ABRINES Alex,Spain,Basketball,Men,bronze
CALDERON Jose Manuel,Spain,Basketball,Men,bronze
CLAVER Victor,Spain,Basketball,Men,bronze
FERNANDEZ Rudy,Spain,Basketball,Men,bronze
GASOL Pau,Spain,Basketball,Men,bronze
HERNANGOMEZ Willy,Spain,Basketball,Men,bronze
LLULL Sergio,Spain,Basketball,Men,bronze
MIROTIC Nikola,Spain,Basketball,Men,bronze
NAVARRO Juan-Carlos,Spain,Basketball,Men,bronze
REYES Felipe,Spain,Basketball,Men,bronze
RODRIGUEZ Sergio,Spain,Basketball,Men,bronze
RUBIO Ricky,Spain,Basketball,Men,bronze
CHOURRAUT Maialen,Spain,Canoe Slalom,Kayak (K1) Women,gold
CRAVIOTTO Saul,Spain,Canoe Sprint,Men's Kayak Double 200m,gold
TORO Cristian,Spain,Canoe Sprint,Men's Kayak Double 200m,gold
WALZ Marcus,Spain,Canoe Sprint,Men's Kayak Single 1000m,gold
CRAVIOTTO Saul,Spain,Canoe Sprint,Men's Kayak Single 200m,bronze
COLOMA NICOLAS Carlos,Spain,Cycling Mountain Bike,Men's Cross-country,bronze
AGUILAR Sandra,Spain,Rhythmic Gymnastics,Group All-Around,silver
GAVEZOU Artemi,Spain,Rhythmic Gymnastics,Group All-Around,silver
LOPEZ Elena,Spain,Rhythmic Gymnastics,Group All-Around,silver
MOHEDANO Lourdes,Spain,Rhythmic Gymnastics,Group All-Around,silver
QUEREDA Alejandra,Spain,Rhythmic Gymnastics,Group All-Around,silver
BELMONTE GARCIA Mireia,Spain,Swimming,Women's 200m Butterfly,gold
BELMONTE GARCIA Mireia,Spain,Swimming,Women's 400m Individual Medley,bronze
CALVO GOMEZ Eva,Spain,Taekwondo,Women -57kg,silver
GONZALEZ BONILLA Joel,Spain,Taekwondo,Men -68kg,bronze
LOPEZ Marc,Spain,Tennis,Men's Doubles,gold
NADAL Rafael,Spain,Tennis,Men's Doubles,gold
VALENTIN PEREZ Lidia,Spain,Weightlifting,Women's 75kg,bronze
RISSVEDS Jenny,Sweden,Cycling Mountain Bike,Women's Cross-country,gold
JOHANSSON Emma,Sweden,Cycling Road,Women's Road Race,silver
FREDRICSON Peder,Sweden,Equestrian,Jumping Individual,silver
ANDERSSON Jonna,Sweden,Football,Women,silver
APPELQVIST Emilia,Sweden,Football,Women,silver
ASLLANI Kosovare,Sweden,Football,Women,silver
BERGLUND Emma,Sweden,Football,Women,silver
BLACKSTENIUS Stina,Sweden,Football,Women,silver
CARLEN Hilda,Sweden,Football,Women,silver
DAHLKVIST Lisa,Sweden,Football,Women,silver
ERIKSSON Magdalena,Sweden,Football,Women,silver
FISCHER Nilla,Sweden,Football,Women,silver
GRAHNS Hanne,Sweden,Football,Women,silver
HAMMARLUND Pauline,Sweden,Football,Women,silver
ILESTEDT Amanda,Sweden,Football,Women,silver
JAKOBSSON Sofia,Sweden,Football,Women,silver
LINDAHL Hedvig,Sweden,Football,Women,silver
LUNDBERG Emelie,Sweden,Football,Women,silver
ROLFO Fridolina,Sweden,Football,Women,silver
RUBENSSON Elin,Sweden,Football,Women,silver
SAMUELSSON Jessica,Sweden,Football,Women,silver
SCHELIN Lotta,Sweden,Football,Women,silver
SCHOUGH Olivia,Sweden,Football,Women,silver
SEGER Caroline,Sweden,Football,Women,silver
SEMBRANT Linda,Sweden,Football,Women,silver
STENSON Henrik,Sweden,Golf,Men's Individual Stroke Play,silver
SVENSSON Marcus,Sweden,Shooting,Skeet Men,silver
SJOSTROM Sarah,Sweden,Swimming,Women's 200m Freestyle,silver
SJOSTROM Sarah,Sweden,Swimming,Women's 100m Butterfly,gold
SJOSTROM Sarah,Sweden,Swimming,Women's 100m Freestyle,bronze
FRANSSON Anna Jenny,Sweden,Wrestling,Women's Freestyle 69 kg,bronze
MATTSSON Sofia Magdalena,Sweden,Wrestling,Women's Freestyle 53 kg,bronze
STEINGRUBER Giulia,Switzerland,Artistic Gymnastics,Women's Vault,bronze
SCHURTER Nino,Switzerland,Cycling Mountain Bike,Men's Cross-country,gold
CANCELLARA Fabian,Switzerland,Cycling Road,Men's Individual Time Trial,gold
GYR Mario,Switzerland,Rowing,Lightweight Men's Four,gold
NIEPMANN Simon,Switzerland,Rowing,Lightweight Men's Four,gold
SCHUERCH Simon,Switzerland,Rowing,Lightweight Men's Four,gold
TRAMER Lucas,Switzerland,Rowing,Lightweight Men's Four,gold
DIETHELM GERBER Heidi,Switzerland,Shooting,25m Pistol Women,bronze
BACSINSZKY Timea,Switzerland,Tennis,Women's Doubles,silver
HINGIS Martina,Switzerland,Tennis,Women's Doubles,silver
SPIRIG HUG Nicola,Switzerland,Triathlon,Women,silver
LE Chien-Ying,Taipei (Chinese Taipei),Archery,Women's Team,bronze
LIN Shih-Chia,Taipei (Chinese Taipei),Archery,Women's Team,bronze
TAN Ya-Ting,Taipei (Chinese Taipei),Archery,Women's Team,bronze
HSU Shu-Ching,Taipei (Chinese Taipei),Weightlifting,Women's 53kg,gold
KUO Hsing-Chun,Taipei (Chinese Taipei),Weightlifting,Women's 58kg,bronze
NAZAROV Dilshod,Tajikistan,Athletics,Men's Hammer Throw,gold
HANPRAB Tawin,Thailand,Taekwondo,Men -58kg,silver
WONGPATTANAKIT Panipak,Thailand,Taekwondo,Women -49kg,bronze
SIRIKAEW Pimsiri,Thailand,Weightlifting,Women's 58kg,silver
SRISURAT Sukanya,Thailand,Weightlifting,Women's 58kg,gold
TANASAN Sopita,Thailand,Weightlifting,Women's 48kg,gold
KRUAITHONG Sinphet,Thailand,Weightlifting,Men's 56kg,bronze
WALCOTT Keshorn,Trinidad and Tobago,Athletics,Men's Javelin Throw,bronze
BOUBAKRI Ines,Tunisia,Fencing,Women's Foil Individual,bronze
OUESLATI Oussama,Tunisia,Taekwondo,Men -80kg,bronze
AMRI Marwa,Tunisia,Wrestling,Women's Freestyle 58 kg,bronze
COPELLO Yasmani,Turkey,Athletics,Men's 400m Hurdles,bronze
TATAR Nur,Turkey,Taekwondo,Women -67kg,bronze
ISMAYILOV Daniyar,Turkey,Weightlifting,Men's 69kg,silver
KAYAALP Riza,Turkey,Wrestling,Men's Greco-Roman 130 kg,silver
YASAR Selim,Turkey,Wrestling,Men's Freestyle 86 kg,silver
AKGUL Taha,Turkey,Wrestling,Men's Freestyle 125 kg,gold
DEMIRTAS Soner,Turkey,Wrestling,Men's Freestyle 74 kg,bronze
ILDEM Cenk,Turkey,Wrestling,Men's Greco-Roman 98 kg,bronze
VERNIAIEV Oleg,Ukraine,Artistic Gymnastics,Men's Individual All-Around,silver
VERNIAIEV Oleg,Ukraine,Artistic Gymnastics,Men's Parallel Bars,gold
BONDARENKO Bohdan,Ukraine,Athletics,Men's High Jump,bronze
CHEBAN Iurii,Ukraine,Canoe Sprint,Men's Canoe Single 200m,gold
IANCHUK Dmytro,Ukraine,Canoe Sprint,Men's Canoe Double 1000m,bronze
MISHCHUK Taras,Ukraine,Canoe Sprint,Men's Canoe Double 1000m,bronze
KHARLAN Olga,Ukraine,Fencing,Women's Sabre Team,silver
KOMASHCHUK Alina,Ukraine,Fencing,Women's Sabre Team,silver
KRAVATSKA Olena,Ukraine,Fencing,Women's Sabre Team,silver
VORONINA Olena,Ukraine,Fencing,Women's Sabre Team,silver
KHARLAN Olga,Ukraine,Fencing,Women's Sabre Individual,bronze
TYMOSHCHENKO Pavlo,Ukraine,Modern Pentathlon,Men's Individual,silver
RIZATDINOVA Ganna,Ukraine,Rhythmic Gymnastics,Individual All-Around,bronze
KULISH Serhiy,Ukraine,Shooting,10m Air Rifle Men,silver
BELENIUK Zhan,Ukraine,Wrestling,Men's Greco-Roman 85 kg,silver
TOMA Sergiu,United Arab Emirates,Judo,Men -81 kg,bronze
ELLISON Brady,United States,Archery,Men's Team,silver
GARRETT Zach,United States,Archery,Men's Team,silver
KAMINSKI Jake,United States,Archery,Men's Team,silver
ELLISON Brady,United States,Archery,Men's Individual,bronze
RAISMAN Alexandra,United States,Artistic Gymnastics,Women's Floor Exercise,silver
RAISMAN Alexandra,United States,Artistic Gymnastics,Women's Individual All-Around,silver
HERNANDEZ Lauren,United States,Artistic Gymnastics,Women's Balance Beam,silver
KOCIAN Madison,United States,Artistic Gymnastics,Women's Uneven Bars,silver
LEYVA Danell,United States,Artistic Gymnastics,Men's Horizontal Bar,silver
LEYVA Danell,United States,Artistic Gymnastics,Men's Parallel Bars,silver
BILES Simone,United States,Artistic Gymnastics,Women's Floor Exercise,gold
BILES Simone,United States,Artistic Gymnastics,Women's Vault,gold
BILES Simone,United States,Artistic Gymnastics,Women's Individual All-Around,gold
BILES Simone,United States,Artistic Gymnastics,Women's Team,gold
RAISMAN Alexandra,United States,Artistic Gymnastics,Women's Team,gold
HERNANDEZ Lauren,United States,Artistic Gymnastics,Women's Team,gold
KOCIAN Madison,United States,Artistic Gymnastics,Women's Team,gold
DOUGLAS Gabrielle,United States,Artistic Gymnastics,Women's Team,gold
BILES Simone,United States,Artistic Gymnastics,Women's Balance Beam,bronze
NADDOUR Alexander,United States,Artistic Gymnastics,Men's Pommel Horse,bronze
FELIX Allyson,United States,Athletics,Women's 400m,silver
BOWIE Tori,United States,Athletics,Women's 100m,silver
ALI Nia,United States,Athletics,Women's 100m Hurdles,silver
CHELIMO Paul Kipkemoi,United States,Athletics,Men's 5000m,silver
CLAYE Will,United States,Athletics,Men's Triple Jump,silver
GATLIN Justin,United States,Athletics,Men's 100m,silver
JAGER Evan,United States,Athletics,Men's 3000m Steeplechase,silver
KOVACS Joe,United States,Athletics,Men's Shot Put,silver
MORRIS Sandi,United States,Athletics,Women's Pole Vault,silver
REESE Brittney,United States,Athletics,Women's Long Jump,silver
FELIX Allyson,United States,Athletics,Women's 4 x 400m Relay,gold
FELIX Allyson,United States,Athletics,Women's 4 x 100m Relay,gold
BARTOLETTA Tianna,United States,Athletics,Women's 4 x 100m Relay,gold
BARTOLETTA Tianna,United States,Athletics,Women's Long Jump,gold
BOWIE Tori,United States,Athletics,Women's 4 x 100m Relay,gold
MERRITT Lashawn,United States,Athletics,Men's 4 x 400m Relay,gold
AKINOSUN Morolake,United States,Athletics,Women's 4 x 100m Relay,gold
CARTER Michelle,United States,Athletics,Women's Shot Put,gold
CENTROWITZ Matthew,United States,Athletics,Men's 1500m,gold
CLEMENT Kerron,United States,Athletics,Men's 400m Hurdles,gold
CLEMONS Kyle,United States,Athletics,Men's 4 x 400m Relay,gold
CROUSER Ryan,United States,Athletics,Men's Shot Put,gold
EATON Ashton,United States,Athletics,Men's Decathlon,gold
ELLIS-WATSON Taylor,United States,Athletics,Women's 4 x 400m Relay,gold
FRANCIS Phyllis,United States,Athletics,Women's 4 x 400m Relay,gold
GARDNER English,United States,Athletics,Women's 4 x 100m Relay,gold
HALL Arman,United States,Athletics,Men's 4 x 400m Relay,gold
HASTINGS Natasha,United States,Athletics,Women's 4 x 400m Relay,gold
HENDERSON Jeff,United States,Athletics,Men's Long Jump,gold
MCCORORY Francena,United States,Athletics,Women's 4 x 400m Relay,gold
MCQUAY Tony,United States,Athletics,Men's 4 x 400m Relay,gold
MUHAMMAD Dalilah,United States,Athletics,Women's 400m Hurdles,gold
OKOLO Courtney,United States,Athletics,Women's 4 x 400m Relay,gold
PRANDINI Jenna,United States,Athletics,Women's 4 x 100m Relay,gold
ROBERTS Gil,United States,Athletics,Men's 4 x 400m Relay,gold
ROLLINS Brianna,United States,Athletics,Women's 100m Hurdles,gold
TAYLOR Christian,United States,Athletics,Men's Triple Jump,gold
VERBURG David,United States,Athletics,Men's 4 x 400m Relay,gold
WASHINGTON Ariana,United States,Athletics,Women's 4 x 100m Relay,gold
BOWIE Tori,United States,Athletics,Women's 200m,bronze
MERRITT Lashawn,United States,Athletics,Men's 400m,bronze
CASTLIN Kristi,United States,Athletics,Women's 100m Hurdles,bronze
COBURN Emma,United States,Athletics,Women's 3000m Steeplechase,bronze
KENDRICKS Sam,United States,Athletics,Men's Pole Vault,bronze
MURPHY Clayton,United States,Athletics,Men's 800m,bronze
RUPP Galen,United States,Athletics,Men's Marathon,bronze
SIMPSON Jennifer,United States,Athletics,Women's 1500m,bronze
SPENCER Ashley,United States,Athletics,Women's 400m Hurdles,bronze
ANTHONY Carmelo,United States,Basketball,Men,gold
AUGUSTUS Seimone,United States,Basketball,Women,gold
BARNES Harrison,United States,Basketball,Men,gold
BIRD Sue,United States,Basketball,Women,gold
BUTLER Jimmy,United States,Basketball,Men,gold
CATCHINGS Tamika,United States,Basketball,Women,gold
CHARLES Tina,United States,Basketball,Women,gold
COUSINS DeMarcus,United States,Basketball,Men,gold
DELLE DONNE Elena,United States,Basketball,Women,gold
DEROZAN Demar,United States,Basketball,Men,gold
DURANT Kevin,United States,Basketball,Men,gold
FOWLES Sylvia,United States,Basketball,Women,gold
GEORGE Paul,United States,Basketball,Men,gold
GREEN Draymond,United States,Basketball,Men,gold
GRINER Brittney,United States,Basketball,Women,gold
IRVING Kyrie,United States,Basketball,Men,gold
JORDAN DeAndre,United States,Basketball,Men,gold
LOWRY Kyle,United States,Basketball,Men,gold
MCCOUGHTRY Angel,United States,Basketball,Women,gold
MOORE Maya,United States,Basketball,Women,gold
STEWART Breanna,United States,Basketball,Women,gold
TAURASI Diana,United States,Basketball,Women,gold
THOMPSON Klay,United States,Basketball,Men,gold
WHALEN Lindsay,United States,Basketball,Women,gold
ROSS April,United States,Beach Volleyball,Women,bronze
WALSH JENNINGS Kerri,United States,Beach Volleyball,Women,bronze
STEVENSON Shakur,United States,Boxing,Men's Bantam (56kg),silver
SHIELDS Claressa Maria,United States,Boxing,Women's Middle (69-75kg),gold
HERNANDEZ Nico Miguel,United States,Boxing,Men's Light Fly (46-49kg),bronze
